date,close,high,low,open,volume,weightedAverage
2016-10-31 08:00:00,3.98000003,4.03499999,3.97800029,4.02099999,4431.44510061,4.01367706
2016-11-01 08:00:00,4.11596619,4.16799917,3.98000001,3.98000001,18193.9856819,4.0625188
2016-11-02 08:00:00,4.15729398,4.15729398,4.05500622,4.1299967,3261.4386684,4.11543632
2016-11-03 08:00:00,3.86161259,4.21999998,3.80056687,4.15729398,18950.5770325,4.04351059
2016-11-04 08:00:00,3.92,3.94979863,3.8156,3.85104713,2019.1890851,3.86529762
2016-11-05 08:00:00,3.91999991,3.92899999,3.8640045,3.91999999,1241.68976092,3.90456722
2016-11-06 08:00:00,3.92099999,3.96473986,3.87000001,3.88900021,6201.18549188,3.92719101
2016-11-07 08:00:00,3.88680117,3.92099999,3.84233427,3.92099999,1836.32443775,3.86653761
2016-11-08 08:00:00,3.843,3.89799995,3.83200001,3.858,1251.64234646,3.86912047
2016-11-09 08:00:00,3.85,3.98799998,3.83800016,3.86828625,8589.65116562,3.9177625
2016-11-10 08:00:00,3.81000001,3.88898399,3.801,3.86808521,836.48409612,3.82324318
2016-11-11 08:00:00,3.79600205,3.8566852,3.79500079,3.83958983,497.5900501,3.81405449
2016-11-12 08:00:00,3.77101339,3.84699979,3.73500002,3.8469994,1883.2459132,3.7858556
2016-11-13 08:00:00,3.879,3.93999769,3.66,3.7779645,5129.25906893,3.73052124
2016-11-14 08:00:00,3.88331048,3.91199985,3.82400355,3.89999999,3438.45507033,3.88892921
2016-11-15 08:00:00,3.893,3.96,3.84300116,3.8625398,8786.24523641,3.93542818
2016-11-16 08:00:00,3.95499989,4.02,3.85500005,3.88706369,15426.8062223,3.92752656
2016-11-17 08:00:00,3.89691558,3.99999914,3.87007318,3.94713038,5250.48904918,3.94685621
2016-11-18 08:00:00,3.95851709,3.97599997,3.86600043,3.89691558,2066.87812961,3.94838421
2016-11-19 08:00:00,3.97599999,3.98199938,3.90000011,3.95851709,2135.00222627,3.9539755
2016-11-20 08:00:00,3.86007058,3.98199713,3.860069,3.97999999,4183.25509098,3.91955814
2016-11-21 08:00:00,3.91603582,3.95998552,3.87105042,3.93299668,1226.02206633,3.90947199
2016-11-22 08:00:00,3.9012,3.94993755,3.88000009,3.90000131,1523.46530399,3.90835483
2016-11-23 08:00:00,3.88,3.93581888,3.871,3.9012,376.03644485,3.89028193
2016-11-24 08:00:00,3.91898827,3.91899899,3.84000095,3.91,1239.48919697,3.87338291
2016-11-25 08:00:00,3.89748752,3.92899995,3.83463865,3.86108919,1096.42208023,3.89584006
2016-11-26 08:00:00,3.84772505,3.92899845,3.84772505,3.88616646,983.4709562,3.86318745
2016-11-27 08:00:00,3.85269334,3.89899997,3.84772505,3.84772505,1574.24303686,3.85569813
2016-11-28 08:00:00,3.86685,3.89889998,3.85000001,3.85291834,426.59143396,3.87129532
2016-11-29 08:00:00,3.83,3.88889999,3.81000001,3.88861969,3774.13309012,3.84633836
2016-11-30 08:00:00,3.84200014,3.8855249,3.82655783,3.84460917,442.61431864,3.84537697
2016-12-01 08:00:00,3.91223326,3.91329929,3.83942547,3.86281814,1270.51871471,3.89441215
